source,target,value
0,618,1
1,59,1
1,844,1
1,826,1
1,980,1
1,109,1
1,857,1
1,731,1
1,981,1
2,197,1
2,210,1
2,250,1
2,69,1
2,218,1
2,73,1
2,914,1
2,823,1
2,51,1
2,41,1
2,176,1
3,136,1
3,34,1
3,42,1
3,385,1
3,719,1
3,953,1
4,798,1
4,583,1
4,970,1
4,36,1
4,130,1
4,630,1
4,65,1
4,137,1
4,999,1
4,39,1
4,147,1
4,97,1
4,672,1
4,129,1
5,654,1
5,81,1
5,136,1
5,34,1
5,126,1
5,96,1
5,10,1
5,830,1
5,240,1
5,221,1
5,13,1
5,94,1
5,1000,1
5,507,1
5,131,1
5,57,1
5,52,1
5,82,1
5,6,1
6,654,1
6,202,1
6,822,1
6,139,1
6,244,1
6,239,1
6,67,1
6,5,1
6,221,1
6,13,1
6,247,1
6,94,1
6,57,1
6,52,1
6,30,1
6,973,1
7,620,1
7,312,1
7,96,1
7,120,1
7,169,1
7,182,1
7,64,1
7,625,1
7,173,1
7,77,1
7,66,1
8,81,1
8,191,1
8,80,1
8,250,1
8,944,1
8,222,1
8,56,1
8,138,1
8,165,1
8,14,1
8,983,1
8,113,1
8,107,1
8,9,1
8,196,1
8,174,1
8,119,1
8,914,1
8,51,1
8,164,1
8,141,1
8,128,1
9,121,1
9,191,1
9,138,1
9,372,1
9,8,1
9,71,1
9,14,1
9,141,1
9,164,1
9,91,1
9,128,1
10,81,1
10,46,1
10,136,1
10,134,1
10,105,1
10,34,1
10,126,1
10,96,1
10,87,1
10,103,1
10,5,1
10,82,1
10,19,1
10,821,1
10,184,1
10,545,1
10,993,1
10,830,1
10,167,1
10,240,1
10,29,1
10,94,1
10,131,1
10,57,1
10,882,1
11,578,1
11,447,1
11,519,1
11,135,1
11,719,1
12,516,1
12,531,1
12,890,1
12,261,1
12,697,1
12,359,1
12,797,1
12,581,1
12,321,1
13,168,1
13,955,1
13,190,1
13,993,1
13,34,1
13,197,1
13,172,1
13,120,1
13,165,1
13,132,1
13,5,1
13,221,1
13,113,1
13,94,1
13,174,1
13,131,1
13,52,1
13,95,1
13,6,1
14,121,1
14,81,1
14,114,1
14,197,1
14,250,1
14,138,1
14,40,1
14,8,1
14,71,1
14,165,1
14,113,1
14,107,1
14,9,1
14,196,1
14,174,1
14,177,1
14,20,1
14,128,1
14,152,1
15,654,1
15,964,1
15,781,1
15,322,1
15,840,1
15,429,1
15,700,1
15,778,1
15,891,1
15,739,1
16,266,1
16,993,1
16,22,1
16,987,1
